SMILES,HOMO,LUMO,S1,SI
CC(C1=CC=C(C=C1)N1C2=CC(=CC=C2B2C3=C1C=C(C=C3N(C1=C2SC2=C1C=C(C=C2)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)N(C1=CC=CC=C1)C1=CC=CC=C1)N(C1=CC=C2C(=C1)C1=CC=CC=C1O2)C1C=CC(=CC=1)C(C)(C)C)(C)C,-4.785941,-1.3758084,2.6949,2.9424
CC(C1C=CC=C(C=1)N1C(=NC2=C1C=C1C(=C2)B2C3C(N1C1=CC=CC4=C1C1C=CC=CC=1N4C1=CC=CC=C1)=CC=CC=3N(C1=C2SC2=C1C=CC=C2)C1C=CC=C(C=1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)(C)C,-4.661041,-1.3913189,2.6148,2.8624
FC1C=CC=CC=1C1=NC=C2C(=C1)N(C1C=CC=C(C=1)C(C)(C)C)C1=C3B2C2SC4=C(C=2N(C3=CC=C1)C1=CC=CC2=C1C1C=CC=CC=1O2)C=CC=C4,-5.1541114,-1.7366315,2.5789,2.9679
CC(C1C=CC(=CC=1)N1C2C=C(C=CC=2B2C3C1=CC=CC=3N(C1=C2C2=CC(=CC=C2S1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)N(C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)(C)C,-4.79356,-1.1257356,2.9106,3.1291
FC1=CC=CC=C1N1C2=CC3=C(C=C2B2C4C1=CC=CC=4N(C1=C2SC2C1=CC=CC=2)C1=CC=CC(=C1)C(C)(C)C)N=C(N3C1C=CC=C(C=1)C(C)(C)C)C1=CC=CC2=C1C1C=CC=CC=1S2,-4.837915,-1.5224779,2.578,2.9118
CC1=CC=C(C=C1)N1C2C=C(C)C=CC=2B2C3C1=CC1C4=CC=CC=C4SC=1C=3N(C1C2=CC=C(C=1)C)C1=CC=C(C=C1)C,-4.8319283,-1.527648,2.6195,2.8286
CC1C=CC2=C(C=1)C1=C(S2)B2C3C=CC(=CC=3N(C3=C2C(N1C1=CC=CC(=C1)C(C)(C)C)=CC(=C3)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC2=C1C1C=CC=CC=1O2)N(C1=CC=CC=C1)C1=CC=CC=C1,-4.836554,-1.4092784,2.4817,2.9891
C1C=CC(=CC=1)N(C1=CC=C2C3=C1C=CN3C1C3B2C2C=CC(=C4C=2N(C=3C=CC=1)C=C4)N(C1C=CC=CC=1)C1=CC=CC=C1)C1=CC=CC=C1,-5.031932,-2.069427,2.4199,2.5622
CC(C1C=CC(=CC=1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2C=CC(=C1)N(C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)C1=CC=C2C(=C1)C1=CC=CC=C1O2)(C)C,-4.8754663,-1.4201629,2.769,2.9427
C1C=C2N3C4C(C5C3=CC=C(C=5)C3C=CC=C5C=3OC3=C5C=CC=C3)=CC=CC=4B3C2=C(C=1)N1C2C=CC=CC=2C2=C1C3=CC=C2,-5.561194,-2.2065725,2.7166,2.8551
CC(C1C=CC=C(C=1)N1C2C=C(C=CC=2B2C3=C1C=CC=C3N(C1=C2SC2C1=CC(=CC=2)N(C1C=CC=CC=1)C1=CC=CC=C1)C1=CC=C2C(=C1)C1C=CC=CC=1S2)N(C1C=CC=CC=1)C1=CC=CC=C1)(C)C,-4.8275743,-1.5298249,2.369,2.8807
C1C=CC(=CC=1)C1C=CC(=CC=1)C1C=CC2-N3C4C=CC=C5C=4B(C4=C3C(OC=2C=1)=CC=C4)C1C=CC=C2C=1N5-C1=CC=C(C=C1O2)C1C=CC(=CC=1)C1C=CC=CC=1,-5.129077,-2.040583,2.3199,2.5681
CC(C1=CC=C(C=C1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2C=C2C(=C1)OC1=C2C=CC=C1)C1C=CC(=CC=1)C(C)(C)C)N(C1C=CC(=CC=1)N(C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)C1C=CC(=CC=1)N(C1=CC=C(C=C1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)(C)C,-4.5979104,-1.4160813,2.3708,2.7652
CC(C1=CC=C(C=C1)N1C2C3=CC=C(C=C3SC=2B2C3C1=CC=CC=3N(C1=C2C=CC(=C1)N(C1C=CC=CC=1)C1C=CC=CC=1)C1=CC=CC(=C1)C(C)(C)C)N(C1=CC=CC=C1)C1C=CC=CC=1)(C)C,-4.7328787,-1.3948563,2.6715,2.9041
CC(C1=CC=CC(=C1)N1C2C3=CC(=CC=C3SC=2B2C3=C1C=C(C=C3N(C1C2=CC(=CC=1)C(C)(C)C)C1C=CC=C(C=1)C(C)(C)C)N(C1=CC=CC=C1)C1C=CC=CC=1)N(C1=CC=CC=C1)C1=CC=CC=C1)(C)C,-4.857507,-1.489552,2.6296,2.93
CC(C1C=CC(=CC=1)N1C2C=C(C=CC=2B2C3C1=CC=CC=3N(C1C2=CC=C(C=1)N(C1=CC=C2C(=C1)C1=CC=CC=C1O2)C1C=CC2=C(C=1)C1C=CC=CC=1O2)C1=CC=C(C=C1)C(C)(C)C)N(C1=CC=C2C(=C1)C1=CC=CC=C1O2)C1C=CC2=C(C=1)C1C=CC=CC=1O2)(C)C,-4.8082542,-1.406013,2.8398,2.9448
CC(C1C=CC(=CC=1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2C=C(C=C1)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)N(C1=CC=C2C(=C1)C1=CC=CC=C1O2)C1C=CC2=C(C=1)C1C=CC=CC=1O2)(C)C,-4.8156013,-1.3913189,2.8664,2.9817
FC1C=CC=C(C=1C1N=CC2=C(C=1)N(C1C3B2C2SC4=C(C=2N(C=3C=C(C=1)N1C2C=CC=CC=2C2C1=CC=CC=2)C1=CC=NC=C1)C=CC=C4)C1=CC=CC2=C1C1C=CC=CC=1O2)F,-5.458879,-1.9589487,2.7262,3.0746
C1C=CC(=CC=1)C1=CC=CC=C1N1CCN2C3C1=CC=CC=3B1C3=C2C=CC=C3N2C3C1=CC=CC=3N(CC2)C1=CC=CC=C1C1=CC=CC=C1,-4.9018617,-1.4315917,2.6863,2.9429
CC(C1=CC=C(C=C1)N(C1=CC2N(C3=CC=C(C=C3)C(C)(C)C)C3=CC=CC4=C3B(C=2C=C1N(C1=CC=C(C=C1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)C1=CC(=CC=C1N4C1C=CC(=CC=1)C(C)(C)C)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)(C)C,-4.656959,-1.3616585,2.5518,2.7784
CC(C1=CC=C(C=C1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2SC2=C1C=C(C=C2)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)N(C1C=CC(=CC=1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)(C)C,-4.735056,-1.324923,2.6878,2.9349
CC(C1C=CC=C(C=1)N1C(=NC2C1=CC1N(C3C=CN=CC=3)C3=CC(=CC4=C3B(C=1C=2)C1SC2=C(C=1N4C1=CC=CC(=C1)C(C)(C)C)C=CC=C2)N1C2C=CC=CC=2C2C1=CC=CC=2)C1C=CC2=C(C=1)C1=CC=CC=C1O2)(C)C,-5.010163,-1.6653377,2.7357,2.9405
CC(C1=CC=C(C=C1)N(C1=CC=C2C(=C1)N(C1C=CC(=CC=1)C(C)(C)C)C1=C3B2C2C=C4C(=CC=2N(C3=CC=C1)C1=CC=C(C=C1)C(C)(C)C)OC1=C4C=CC=C1)C1C=CC(=CC=1)C(C)(C)C)(C)C,-4.850704,-1.3975775,2.813,2.9383
CC1C=CC2=C(C=1)C1=C(S2)B2C3C=CC(=CC=3N(C3=C2C(N1C1=CC=CC(=C1)C(C)(C)C)=CC(=C3)N(C1=CC=CC=C1)C1C=CC=CC=1)C1C=CC2=C(C=1)C=CC=C2)N(C1C=CC=CC=1)C1=CC=CC=C1,-4.816146,-1.4748579,2.4338,2.8941
CC(C1C=CC=C(C=1)N1C2C=C(C=CC=2B2C3C1=CC=CC=3N(C1=C2SC2=C1C=C(C=C2)N(C1=CC=CC=C1)C1C=CC=CC=1)C1=CC=C2C(=C1)C=CC=C2)N(C1C=CC=CC=1)C1=CC=CC=C1)(C)C,-4.8229485,-1.5989419,2.2873,2.7564
CC1C=C2N(C3=CC=C(C=C3)C(C)(C)C)C3C=CC(=CC=3B3C2=C(C=1)N(C1C=CC(=CC=1)C(C)(C)C)C1=C3SC2C1=CC(=CC=2)C(C)(C)C)C(C)(C)C,-4.7976418,-1.3466922,2.7,2.9634
FC1=CC=C(C=C1)N1C2C=CC(=CC=2B2C3=C1C=C1N(C4C=CC(=CC=4)F)C4=CC=C(C=C4B4C1=C3N(C1C2=CC(F)=CC=1)C1=C4C=C(C=C1)F)F)F,-5.5269074,-2.0582702,2.7441,2.9368
CC(C1C=CC2=C(C=1)B1C3=C(N2C2=CC=CC4=C2C2=CC=CC=C2S4)C=C(C=C3N(C2=C1SC1C2=CC=CC=1N(C1C=CC=CC=1)C1=CC=CC=C1)C1C=CC=C(C=1)C(C)(C)C)N(C1=CC=CC=C1)C1=CC=CC=C1)(C)C,-4.907304,-1.5102327,2.6782,2.9705
CC(C1=CC=C(C=C1)N1C2C=C(N(C3=CC=C(C=C3)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C3=C(C=2B2C4=C1C=CC=C4N(C1=C2C=C(C=C1)C(C)(C)C)C1C=CC(=CC=1)C(C)(C)C)OC1=C3C=CC=C1)(C)C,-4.5889306,-1.0699522,2.757,2.9603
CC1=CC(C)=C(C(=C1)C)N1C2=CC(=CC=C2B2C3=C1C=C(C=C3N(C1=C2SC2C1=CC=CC=2)C1C(C)=CC(=CC=1C)C)N1C2C=CC=CC=2C2C1=CC=CC=2)N(C1C=CC2=C(C=1)C1=CC=CC=C1O2)C1=CC=C(C=C1)C(C)(C)C,-4.941318,-1.5437027,2.5928,2.9843
CC(C1C=CC=C(C=1)N1C(=NC2C1=CC1=C(C=2)B2C3SC4=C(C=3N(C3=C2C(N1C1=CC=CC2=C1C1C=CC=CC=1C1C2=CC=CC=1)=CC(=C3)N1C2=CC=CC=C2C2=C1C=CC=C2)C1=CC=CC(=C1)C(C)(C)C)C=CC=C4)C1C=CC=C2C=1C=CC=C2)(C)C,-4.9350595,-1.6400311,2.5685,2.9118
CC(C1=CC=C2C(=C1)B1C3SC4=C(C=3N(C3=C1C(N2C1=CC=C2C(=C1)OC1C2=CC=CC=1)=CC(=C3)N(C1=CC=CC=C1)C1C=CC=CC=1)C1=CC=CC(=C1)C(C)(C)C)C=C(C=C4)N(C1C=CC=CC=1)C1C=CC=CC=1)(C)C,-4.8683915,-1.4998924,2.6758,2.9369
FC1C=CC=CC=1N1C2=CC3=C(C=C2B2C4=C1C=CC=C4N(C1=C2SC2C1=CC=CC=2)C1C=CC=C(C=1)C(C)(C)C)N=C(N3C1C=CC=C(C=1)C(C)(C)C)C1=CC=CC2=C1C=CC=C2,-4.781043,-1.5562199,2.4965,2.8717
FC1C=CC=CC=1C1N=CC2=C(C=1)N(C1=C3B2C2SC4=C(C=2N(C3=CC=C1)C1=CC=CC(=C1)C(C)(C)C)C=CC=C4)C1=CC=CC2=C1C1C=CC=CC=1O2,-5.145948,-1.7262912,2.5705,2.9792
C1C=CC(=CC=1)C1=CC=C(C=C1)C1C=CC(=CC=1)N1C2=CC=C(C=C2B2C3=C1C=CC=C3OC1=C2C=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,-5.3854084,-1.7622102,2.8942,3.1026
CC(C1C=CC2=C(C=1)B1C3=C(N2C2=CC(=CC(=C2)C2CCCC2)C2CCCC2)C=CC=C3N(C2C1=CC(=CC=2)C(C)(C)C)C1C=C(C=C(C=1)C1CCCC1)C1CCCC1)(C)C,-4.85016,-1.284106,2.8297,3.0272
C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC2-C3=CC(=CC=C3B3C=2C(-C2=CC(=CC=C32)N(C2=CC=CC=C2)C2=CC=CC=C2)=C1)N(C1C=CC=CC=1)C1=CC=CC=C1,-4.9709787,-2.456101,1.7418,1.9874
C1=CC=C2C(=C1)OC1C(N2C2C=C3OC4=CC=CC=C4B4C3=C(C=2)OC2C4=CC=CC=2)=CC=CC=1,-4.964448,-2.2569134,1.9146,2.2257
CC1(C)C2C=C3C(=CC=2-C2C1=CC=CC=2)C1C2N3C3C=C4C5C=CC=CC=5SC4=C4C=3B(C=2C=CC=1)C1=CC=CC2=C1N4C1C=C3C(-C4=C(C3(C)C)C=CC=C4)=CC2=1,-5.3840475,-2.3189554,2.4627,2.5966
CC(C1=CC=C(C=C1)N1C2C=C(C=CC=2B2C3C1=CC(=CC=3N(C1=C2SC2C1=CC(=CC=2)C(C)(C)C)C1=CC=C(C=C1)C(C)(C)C)N(C1C=CC=CC=1)C1C=CC=CC=1)N(C1=CC=C2C(=C1)C1=CC=CC=C1O2)C1C=CC2=C(C=1)C1C=CC=CC=1O2)(C)C,-4.784036,-1.3929516,2.701,2.9468
CC(C1=CC=CC(=C1)N1C2=CC(=CC=C2B2C3=C1C=CC=C3N(C1=C2SC2C1=CC=C(C=2)N(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C2C(=C1)C1=CC=CC=C1O2)N(C1=CC=CC=C1)C1=CC=CC=C1)(C)C,-4.750566,-1.5763564,2.2746,2.786
CC1=CC=C(C=C1)N1C2C=C(C)C=CC=2B2C3=C1C=C(C)C=C3N(C1C2=CC2OC=CC=2C=1)C1=CC=C(C=C1)C,-4.897236,-1.403564,2.7241,2.9686
CC1(C)C2C=CC=CC=2N(C2=C1C=CC=C2)C1=CC=C2C(=C1)B1C3=CC(=CC=C3OC3=C1C(O2)=CC=C3)N1C2C=CC=CC=2C(C2=C1C=CC=C2)(C)C,-5.1786017,-2.3265748,2.1432,2.3678
